hashtags,total,sent_moro
VAZAJATO,302607,negativo
MOROSUACASACAIU,36800,negativo
JUIZLADRAO,24169,negativo
DESMORONOU,21493,negativo
FALALULA,19735,negativo
MOROCORRUPTO,17985,negativo
LULALIVRE,15621,negativo
SOMOSTODOSMORO,14260,positivo
MOROCRIMINOSO,11035,negativo
500BILHOESBNDES,8353,positivo
MOROCONTINUAMENTINDO,8131,negativo
MOROMENTIU,6133,negativo
LAVAJATO,5885,negativo
GLENNGREENWALD,5508,negativo
GLENN,5065,negativo
COAF,5021,negativo
IMPRENSALIVRE,4926,negativo
LIBERDADEDEIMPRENSA,4916,negativo
LULALIVREURGENTE,4609,negativo
VAZAMAISGREENWALD,4499,negativo
JUIZLADRÃO,4078,negativo
LULA,4045,negativo
EXCLUSIVO,3729,negativo
MORONACADEIA,3711,negativo
VAZAMORO,3466,negativo
MOROJUIZFAKE,3423,negativo
SERGIOMORO,3273,positivo
MOROTRAIDORDAPATRIA,3193,negativo
MORO,2824,positivo
FARSAJATO,2613,negativo
DESMORONANDO,2374,negativo
THEINTERCEPTBRASIL,2367,negativo
MOROFUJAO,2157,negativo
PULITZERDETAUBATE,2098,positivo
DETONATUDOMORO,2061,positivo
LADRÃO,1996,negativo
MOROVAZOU,1911,negativo
LULALIVREQUINTASDV,1905,negativo
MOROORGULHODOBRASIL,1603,positivo
MOROJUIZLADRAO,1586,negativo
ENTREGAOCELULARDALLAGNOL,1572,negativo
EQUIPEDECOMUNICAÇÃOGLAUBER,1560,negativo
INTERCEPTBRASIL,1547,negativo
MOROLADRAO,1522,negativo
LUTECOMOUMJORNALISTA,1491,negativo
RATOMORO,1434,negativo
AREFORMATEENGANA,1430,negativo
VEJA,1309,negativo
MOROMENTIROSO,1304,negativo
MOROASUACASACAIU,1303,negativo
TIMELULA,1290,negativo
LULANACADEIA,1238,positivo
MOROLADRÃO,1214,negativo
MOROEDALLAGNOLNACADEIAJA,1199,negativo
MOROJUIZLADRÃO,1178,negativo
EUNAOCONFIONOMORO,1096,negativo
EUAPOIOGLENNGREENWALD,1066,negativo
CADEOQUEIROZ,1051,negativo
MOROJUIZPARCIAL,1036,negativo
LULALIVREJÁ,1000,negativo
MOROTRAIDORDAPÁTRIA,958,negativo
MOROGATE,954,negativo
EUAPOIOMORONACADEIA,938,negativo
INGLENNWETRUST,876,negativo
LIBERTEMLULA,858,negativo
THEINTERCEPT,854,negativo
MOROEDALLAGNOLNACADEIA,826,negativo
FORAMORO,809,negativo
LULALIVRESDV,801,negativo
MOROMENTE,798,negativo
RENUNCIAMORO,796,negativo
LULAPRESOPOLÍTICO,766,negativo
LULAPRESOPOLITICO,733,negativo
INMOROWETRUST,571,positivo
INFUXWETRUST,524,positivo
MOROHEROINACIONAL,514,positivo
DIREITAUNIDA,499,positivo
MOROMAOSLIMPAS,481,positivo
LULATAPRESOBABACA,421,positivo
LAVAJATOORGULHONACIONAL,386,positivo
PTNUNCAMAIS,363,positivo
500BILHOES,358,positivo
SOMOSTODOSMOROEDALLAGNOL,347,positivo
SOMOSTODOMORO,263,positivo
